CD01O060E 004590 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O060E 004590 CHICO DAS VERDURAS                      Não       PRP       Roraima                  3  
CD01O060E 004590 EDIO LOPES                              Não       PMDB      Roraima                  2  
CD01O060E 004590 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O060E 004590 DALVA FIGUEIREDO                        Não       PT        Amapá                    9  
CD01O060E 004590 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O060E 004590 FÁTIMA PELAES                           Não       PMDB      Amapá                    12 
CD01O060E 004590 LUIZ CARLOS                             Obstrução PSDB      Amapá                    14 
CD01O060E 004590 PROFESSORA MARCIVANIA                   Não       PT        Amapá                    15 
CD01O060E 004590 SEBASTIÃO BALA ROCHA                    Não       PDT       Amapá                    17 
CD01O060E 004590 VINICIUS GURGEL                         Não       PRTB      Amapá                    16 
CD01O060E 004590 ARNALDO JORDY                           Não       PPS       Pará                     18 
CD01O060E 004590 BETO FARO                               Não       PT        Pará                     19 
CD01O060E 004590 CLÁUDIO PUTY                            Não       PT        Pará                     22 
CD01O060E 004590 DUDIMAR PAXIÚBA                         Obstrução PSDB      Pará                     518
CD01O060E 004590 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD01O060E 004590 JOSÉ PRIANTE                            Não       PMDB      Pará                     26 
CD01O060E 004590 JOSUÉ BENGTSON                          Não       PTB       Pará                     30 
CD01O060E 004590 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O060E 004590 LUIZ OTÁVIO                             Não       PMDB      Pará                     526
CD01O060E 004590 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O060E 004590 WLADIMIR COSTA                          Não       PMDB      Pará                     23 
CD01O060E 004590 ZÉ GERALDO                              Não       PT        Pará                     25 
CD01O060E 004590 ZEQUINHA MARINHO                        Não       PSC       Pará                     33 
CD01O060E 004590 ÁTILA LINS                              Não       PMDB      Amazonas                 38 
CD01O060E 004590 CARLOS SOUZA                            Não       PP        Amazonas                 37 
CD01O060E 004590 FRANCISCO PRACIANO                      Não       PT        Amazonas                 41 
CD01O060E 004590 HENRIQUE OLIVEIRA                       Não       PR        Amazonas                 36 
CD01O060E 004590 SABINO CASTELO BRANCO                   Não       PTB       Amazonas                 43 
CD01O060E 004590 SILAS CÂMARA                            Não       PSC       Amazonas                 39 
CD01O060E 004590 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O060E 004590 LINDOMAR GARÇON                         Não       PV        Rondonia                 45 
CD01O060E 004590 MARINHA RAUPP                           Não       PMDB      Rondonia                 50 
CD01O060E 004590 MAURO NAZIF                             Não       PSB       Rondonia                 46 
CD01O060E 004590 MOREIRA MENDES                          Não       PPS       Rondonia                 49 
CD01O060E 004590 NATAN DONADON                           Não       PMDB      Rondonia                 51 
CD01O060E 004590 NILTON CAPIXABA                         Não       PTB       Rondonia                 47 
CD01O060E 004590 PADRE TON                               Não       PT        Rondonia                 48 
CD01O060E 004590 ANTÔNIA LÚCIA                           Não       PSC       Acre                     53 
CD01O060E 004590 PERPÉTUA ALMEIDA                        Não       PCdoB     Acre                     56 
CD01O060E 004590 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O060E 004590 TAUMATURGO LIMA                         Não       PT        Acre                     59 
CD01O060E 004590 AGNOLIN                                 Não       PDT       Tocantins                61 
CD01O060E 004590 JÚNIOR COIMBRA                          Não       PMDB      Tocantins                66 
CD01O060E 004590 LAUREZ MOREIRA                          Não       PSB       Tocantins                62 
CD01O060E 004590 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O060E 004590 PROFESSORA DORINHA SEABRA REZEN         Obstrução DEM       Tocantins                67 
CD01O060E 004590 ALBERTO FILHO                           Não       PMDB      Maranhão                 71 
CD01O060E 004590 CLEBER VERDE                            Sim       PRB       Maranhão                 70 
CD01O060E 004590 DAVI ALVES SILVA JÚNIOR                 Não       PR        Maranhão                 528
CD01O060E 004590 EDIVALDO HOLANDA JUNIOR                 Não       PTC       Maranhão                 73 
CD01O060E 004590 FRANCISCO ESCÓRCIO                      Não       PMDB      Maranhão                 567
CD01O060E 004590 GASTÃO VIEIRA                           Não       PMDB      Maranhão                 75 
CD01O060E 004590 LOURIVAL MENDES                         Não       PTdoB     Maranhão                 77 
CD01O060E 004590 LUCIANO MOREIRA                         Sim       PMDB      Maranhão                 83 
CD01O060E 004590 PROFESSOR SETIMO                        Não       PMDB      Maranhão                 81 
CD01O060E 004590 ANDRÉ FIGUEIREDO                        Não       PDT       Ceará                    89 
CD01O060E 004590 ANÍBAL GOMES                            Não       PMDB      Ceará                    87 
CD01O060E 004590 ANTONIO BALHMANN                        Não       PSB       Ceará                    93 
CD01O060E 004590 ARTUR BRUNO                             Não       PT        Ceará                    94 
CD01O060E 004590 CHICO LOPES                             Não       PCdoB     Ceará                    88 
CD01O060E 004590 DANILO FORTE                            Não       PMDB      Ceará                    95 
CD01O060E 004590 EDSON SILVA                             Não       PSB       Ceará                    98 
CD01O060E 004590 EUDES XAVIER                            Não       PT        Ceará                    91 
CD01O060E 004590 GORETE PEREIRA                          Não       PR        Ceará                    100
CD01O060E 004590 JOSÉ GUIMARÃES                          Não       PT        Ceará                    103
CD01O060E 004590 RAIMUNDÃO                               Não       PMDB      Ceará                    108
CD01O060E 004590 VICENTE ARRUDA                          Não       PR        Ceará                    107
CD01O060E 004590 ASSIS CARVALHO                          Não       PT        Piauí                    111
CD01O060E 004590 HUGO NAPOLEÃO                           Obstrução DEM       Piauí                    112
CD01O060E 004590 IRACEMA PORTELLA                        Não       PP        Piauí                    113
CD01O060E 004590 JESUS RODRIGUES                         Não       PT        Piauí                    115
CD01O060E 004590 MARCELO CASTRO                          Não       PMDB      Piauí                    110
CD01O060E 004590 MARLLOS SAMPAIO                         Não       PMDB      Piauí                    117
CD01O060E 004590 NAZARENO FONTELES                       Não       PT        Piauí                    530
CD01O060E 004590 OSMAR JÚNIOR                            Não       PCdoB     Piauí                    116
CD01O060E 004590 PAES LANDIM                             Não       PTB       Piauí                    118
CD01O060E 004590 FÁTIMA BEZERRA                          Não       PT        Rio Grande do Norte      121
CD01O060E 004590 HENRIQUE EDUARDO ALVES                  Não       PMDB      Rio Grande do Norte      123
CD01O060E 004590 JOÃO MAIA                               Não       PR        Rio Grande do Norte      124
CD01O060E 004590 PAULO WAGNER                            Não       PV        Rio Grande do Norte      126
CD01O060E 004590 SANDRA ROSADO                           Não       PSB       Rio Grande do Norte      125
CD01O060E 004590 DAMIÃO FELICIANO                        Não       PDT       Paraíba                  127
CD01O060E 004590 LUIZ COUTO                              Não       PT        Paraíba                  133
CD01O060E 004590 MANOEL JUNIOR                           Não       PMDB      Paraíba                  130
CD01O060E 004590 NILDA GONDIM                            Não       PMDB      Paraíba                  134
CD01O060E 004590 WELLINGTON ROBERTO                      Não       PR        Paraíba                  136
CD01O060E 004590 AUGUSTO COUTINHO                        Obstrução DEM       Pernambuco               144
CD01O060E 004590 BRUNO ARAÚJO                            Obstrução PSDB      Pernambuco               146
CD01O060E 004590 FERNANDO FERRO                          Não       PT        Pernambuco               141
CD01O060E 004590 JOÃO PAULO  LIMA                        Não       PT        Pernambuco               149
CD01O060E 004590 JORGE CORTE REAL                        Não       PTB       Pernambuco               150
CD01O060E 004590 JOSÉ AUGUSTO MAIA                       Não       PTB       Pernambuco               151
CD01O060E 004590 LUCIANA SANTOS                          Não       PCdoB     Pernambuco               153
CD01O060E 004590 PASTOR EURICO                           Não       PSB       Pernambuco               155
CD01O060E 004590 PEDRO EUGÊNIO                           Não       PT        Pernambuco               161
CD01O060E 004590 RAUL HENRY                              Sim       PMDB      Pernambuco               163
CD01O060E 004590 ROBERTO TEIXEIRA                        Não       PP        Pernambuco               157
CD01O060E 004590 SILVIO COSTA                            Não       PTB       Pernambuco               160
CD01O060E 004590 ARTHUR LIRA                             Não       PP        Alagoas                  162
CD01O060E 004590 CELIA ROCHA                             Não       PTB       Alagoas                  165
CD01O060E 004590 GIVALDO CARIMBÃO                        Não       PSB       Alagoas                  166
CD01O060E 004590 JOAQUIM BELTRÃO                         Não       PMDB      Alagoas                  172
CD01O060E 004590 ROSINHA DA ADEFAL                       Não       PTdoB     Alagoas                  170
CD01O060E 004590 RUI PALMEIRA                            Obstrução PSDB      Alagoas                  171
CD01O060E 004590 ALMEIDA LIMA                            Não       PMDB      Sergipe                  173
CD01O060E 004590 ANDRE MOURA                             Não       PSC       Sergipe                  174
CD01O060E 004590 HELENO SILVA                            Não       PRB       Sergipe                  175
CD01O060E 004590 LAERCIO OLIVEIRA                        Não       PR        Sergipe                  176
CD01O060E 004590 MÁRCIO MACÊDO                           Não       PT        Sergipe                  177
CD01O060E 004590 VALADARES FILHO                         Não       PSB       Sergipe                  183
CD01O060E 004590 ACELINO POPÓ                            Não       PRB       Bahia                    522
CD01O060E 004590 AMAURI TEIXEIRA                         Não       PT        Bahia                    184
CD01O060E 004590 ANTONIO BRITO                           Não       PTB       Bahia                    189
CD01O060E 004590 ANTONIO CARLOS MAGALHÃES NETO           Obstrução DEM       Bahia                    181
CD01O060E 004590 DANIEL ALMEIDA                          Não       PCdoB     Bahia                    188
CD01O060E 004590 FELIX JÚNIOR                            Sim       PDT       Bahia                    195
CD01O060E 004590 GERALDO SIMÕES                          Não       PT        Bahia                    185
CD01O060E 004590 JÂNIO NATAL                             Não       PRP       Bahia                    198
CD01O060E 004590 JOSÉ CARLOS ARAÚJO                      Não       PDT       Bahia                    197
CD01O060E 004590 JOSÉ ROCHA                              Não       PR        Bahia                    203
CD01O060E 004590 JOSEPH BANDEIRA                         Não       PT        Bahia                    565
CD01O060E 004590 JOSIAS GOMES                            Não       PT        Bahia                    202
CD01O060E 004590 LUCIO VIEIRA LIMA                       Não       PMDB      Bahia                    205
CD01O060E 004590 LUIZ ALBERTO                            Não       PT        Bahia                    204
CD01O060E 004590 LUIZ ARGÔLO                             Não       PP        Bahia                    207
CD01O060E 004590 MARCOS MEDRADO                          Não       PDT       Bahia                    200
CD01O060E 004590 MAURÍCIO TRINDADE                       Não       PR        Bahia                    208
CD01O060E 004590 NELSON PELLEGRINO                       Não       PT        Bahia                    209
CD01O060E 004590 OZIEL OLIVEIRA                          Não       PDT       Bahia                    215
CD01O060E 004590 PAULO MAGALHÃES                         Não       DEM       Bahia                    214
CD01O060E 004590 ROBERTO BRITTO                          Não       PP        Bahia                    211
CD01O060E 004590 RUI COSTA                               Não       PT        Bahia                    216
CD01O060E 004590 SÉRGIO BARRADAS CARNEIRO                Não       PT        Bahia                    524
CD01O060E 004590 VALMIR ASSUNÇÃO                         Não       PT        Bahia                    218
CD01O060E 004590 WALDENOR PEREIRA                        Não       PT        Bahia                    219
CD01O060E 004590 ADEMIR CAMILO                           Não       PDT       Minas Gerais             220
CD01O060E 004590 AELTON FREITAS                          Não       PR        Minas Gerais             224
CD01O060E 004590 ANTÔNIO ANDRADE                         Não       PMDB      Minas Gerais             227
CD01O060E 004590 BERNARDO SANTANA DE VASCONCELLO         Não       PR        Minas Gerais             221
CD01O060E 004590 CARLAILE PEDROSA                        Obstrução PSDB      Minas Gerais             222
CD01O060E 004590 DIEGO ANDRADE                           Não       PR        Minas Gerais             228
CD01O060E 004590 DIMAS FABIANO                           Não       PP        Minas Gerais             231
CD01O060E 004590 DOMINGOS SÁVIO                          Obstrução PSDB      Minas Gerais             233
CD01O060E 004590 DR. GRILO                               Não       PSL       Minas Gerais             235
CD01O060E 004590 EROS BIONDINI                           Não       PTB       Minas Gerais             242
CD01O060E 004590 FÁBIO RAMALHO                           Não       PV        Minas Gerais             238
CD01O060E 004590 GABRIEL GUIMARÃES                       Não       PT        Minas Gerais             244
CD01O060E 004590 GEORGE HILTON                           Não       PRB       Minas Gerais             241
CD01O060E 004590 GERALDO THADEU                          Não       PPS       Minas Gerais             236
CD01O060E 004590 GILMAR MACHADO                          Não       PT        Minas Gerais             234
CD01O060E 004590 JAIME MARTINS                           Não       PR        Minas Gerais             240
CD01O060E 004590 JAIRO ATAIDE                            Obstrução DEM       Minas Gerais             533
CD01O060E 004590 JÔ MORAES                               Não       PCdoB     Minas Gerais             246
CD01O060E 004590 JOSÉ HUMBERTO                           Não       PHS       Minas Gerais             249
CD01O060E 004590 LEONARDO MONTEIRO                       Não       PT        Minas Gerais             253
CD01O060E 004590 LUIS TIBÉ                               Não       PTdoB     Minas Gerais             251
CD01O060E 004590 LUIZ FERNANDO FARIA                     Não       PP        Minas Gerais             256
CD01O060E 004590 MIGUEL CORRÊA                           Não       PT        Minas Gerais             261
CD01O060E 004590 ODAIR CUNHA                             Não       PT        Minas Gerais             269
CD01O060E 004590 PADRE JOÃO                              Não       PT        Minas Gerais             259
CD01O060E 004590 RENZO BRAZ                              Não       PP        Minas Gerais             262
CD01O060E 004590 SARAIVA FELIPE                          Não       PMDB      Minas Gerais             265
CD01O060E 004590 STEFANO AGUIAR                          Não       PSC       Minas Gerais             558
CD01O060E 004590 TONINHO PINHEIRO                        Não       PP        Minas Gerais             264
CD01O060E 004590 WALTER TOSTA                            Não       PMN       Minas Gerais             267
CD01O060E 004590 ZÉ SILVA                                Não       PDT       Minas Gerais             271
CD01O060E 004590 AUDIFAX                                 Não       PSB       Espírito Santo           274
CD01O060E 004590 CAMILO COLA                             Não       PMDB      Espírito Santo           543
CD01O060E 004590 CESAR COLNAGO                           Obstrução PSDB      Espírito Santo           276
CD01O060E 004590 LAURIETE                                Não       PSC       Espírito Santo           279
CD01O060E 004590 LELO COIMBRA                            Não       PMDB      Espírito Santo           277
CD01O060E 004590 MANATO                                  Não       PDT       Espírito Santo           275
CD01O060E 004590 PAULO FOLETTO                           Não       PSB       Espírito Santo           280
CD01O060E 004590 ROSE DE FREITAS                         Não       PMDB      Espírito Santo           282
CD01O060E 004590 SUELI VIDIGAL                           Não       PDT       Espírito Santo           281
CD01O060E 004590 ADRIAN                                  Não       PMDB      Rio de Janeiro           286
CD01O060E 004590 ALESSANDRO MOLON                        Não       PT        Rio de Janeiro           287
CD01O060E 004590 ALEXANDRE SANTOS                        Não       PMDB      Rio de Janeiro           285
CD01O060E 004590 ANTHONY GAROTINHO                       Não       PR        Rio de Janeiro           289
CD01O060E 004590 AUREO                                   Não       PRTB      Rio de Janeiro           290
CD01O060E 004590 BENEDITA DA SILVA                       Não       PT        Rio de Janeiro           291
CD01O060E 004590 CHICO ALENCAR                           Não       PSOL      Rio de Janeiro           295
CD01O060E 004590 CRISTIANO                               Não       PTdoB     Rio de Janeiro           292
CD01O060E 004590 DELEY                                   Não       PSC       Rio de Janeiro           562
CD01O060E 004590 DR. ADILSON SOARES                      Não       PR        Rio de Janeiro           293
CD01O060E 004590 DR. ALUIZIO                             Não       PV        Rio de Janeiro           294
CD01O060E 004590 DR. CARLOS ALBERTO                      Não       PMN       Rio de Janeiro           529
CD01O060E 004590 EDSON EZEQUIEL                          Não       PMDB      Rio de Janeiro           298
CD01O060E 004590 EDUARDO CUNHA                           Não       PMDB      Rio de Janeiro           300
CD01O060E 004590 ELIANE ROLIM                            Não       PT        Rio de Janeiro           538
CD01O060E 004590 FELIPE BORNIER                          Não       PHS       Rio de Janeiro           301
CD01O060E 004590 FERNANDO JORDÃO                         Não       PMDB      Rio de Janeiro           557
CD01O060E 004590 HUGO LEAL                               Não       PSC       Rio de Janeiro           306
CD01O060E 004590 JAIR BOLSONARO                          Não       PP        Rio de Janeiro           302
CD01O060E 004590 JANDIRA FEGHALI                         Não       PCdoB     Rio de Janeiro           305
CD01O060E 004590 JEAN WYLLYS                             Não       PSOL      Rio de Janeiro           307
CD01O060E 004590 LILIAM SÁ                               Não       PR        Rio de Janeiro           309
CD01O060E 004590 MARCELO MATOS                           Não       PDT       Rio de Janeiro           311
CD01O060E 004590 MIRO TEIXEIRA                           Não       PDT       Rio de Janeiro           317
CD01O060E 004590 NELSON BORNIER                          Não       PMDB      Rio de Janeiro           549
CD01O060E 004590 ROMÁRIO                                 Não       PSB       Rio de Janeiro           319
CD01O060E 004590 SOLANGE ALMEIDA                         Não       PMDB      Rio de Janeiro           563
CD01O060E 004590 VITOR PAULO                             Não       PRB       Rio de Janeiro           324
CD01O060E 004590 WALNEY ROCHA                            Não       PTB       Rio de Janeiro           325
CD01O060E 004590 WASHINGTON REIS                         Não       PMDB      Rio de Janeiro           326
CD01O060E 004590 ZOINHO                                  Não       PR        Rio de Janeiro           328
CD01O060E 004590 ALBERTO MOURÃO                          Abstenção PSDB      São Paulo                552
CD01O060E 004590 ALINE CORRÊA                            Não       PP        São Paulo                330
CD01O060E 004590 ANTONIO BULHÕES                         Não       PRB       São Paulo                333
CD01O060E 004590 ARLINDO CHINAGLIA                       Não       PT        São Paulo                336
CD01O060E 004590 ARNALDO FARIA DE SÁ                     Não       PTB       São Paulo                337
CD01O060E 004590 ARNALDO JARDIM                          Sim       PPS       São Paulo                339
CD01O060E 004590 BETO MANSUR                             Não       PP        São Paulo                340
CD01O060E 004590 CÂNDIDO VACCAREZZA                      Não       PT        São Paulo                389
CD01O060E 004590 CARLINHOS ALMEIDA                       Não       PT        São Paulo                341
CD01O060E 004590 CARLOS ZARATTINI                        Não       PT        São Paulo                398
CD01O060E 004590 DELEGADO PROTÓGENES                     Não       PCdoB     São Paulo                343
CD01O060E 004590 DEVANIR RIBEIRO                         Não       PT        São Paulo                342
CD01O060E 004590 DIMAS RAMALHO                           Não       PPS       São Paulo                346
CD01O060E 004590 DR. UBIALI                              Não       PSB       São Paulo                541
CD01O060E 004590 EDINHO ARAÚJO                           Não       PMDB      São Paulo                344
CD01O060E 004590 GABRIEL CHALITA                         Não       PSB       São Paulo                347
CD01O060E 004590 GUILHERME CAMPOS                        Obstrução DEM       São Paulo                357
CD01O060E 004590 GUILHERME MUSSI                         Não       PV        São Paulo                348
CD01O060E 004590 IVAN VALENTE                            Não       PSOL      São Paulo                359
CD01O060E 004590 JANETE ROCHA PIETÁ                      Não       PT        São Paulo                358
CD01O060E 004590 JILMAR TATTO                            Não       PT        São Paulo                360
CD01O060E 004590 JONAS DONIZETTE                         Não       PSB       São Paulo                353
CD01O060E 004590 JOSÉ DE FILIPPI                         Não       PT        São Paulo                354
CD01O060E 004590 JOSÉ MENTOR                             Não       PT        São Paulo                367
CD01O060E 004590 JUNJI ABE                               Obstrução DEM       São Paulo                355
CD01O060E 004590 KEIKO OTA                               Não       PSB       São Paulo                356
CD01O060E 004590 LUIZ FERNANDO MACHADO                   Obstrução PSDB      São Paulo                365
CD01O060E 004590 LUIZA ERUNDINA                          Não       PSB       São Paulo                371
CD01O060E 004590 MARA GABRILLI                           Obstrução PSDB      São Paulo                366
CD01O060E 004590 MARCELO AGUIAR                          Não       PSC       São Paulo                370
CD01O060E 004590 MISSIONÁRIO JOSÉ OLIMPIO                Não       PP        São Paulo                375
CD01O060E 004590 NELSON MARQUEZELLI                      Não       PTB       São Paulo                381
CD01O060E 004590 NEWTON LIMA                             Não       PT        São Paulo                377
CD01O060E 004590 OTONIEL LIMA                            Não       PRB       São Paulo                378
CD01O060E 004590 PASTOR MARCO FELICIANO                  Não       PSC       São Paulo                379
CD01O060E 004590 PAULO FREIRE                            Não       PR        São Paulo                380
CD01O060E 004590 RICARDO BERZOINI                        Não       PT        São Paulo                390
CD01O060E 004590 RICARDO IZAR                            Não       PV        São Paulo                383
