CD03O030O 005228 CHICO DAS VERDURAS                      Obstrução PRP       Roraima                  3
CD03O030O 005228 EDIO LOPES                              Sim       PMDB      Roraima                  2  
CD03O030O 005228 JHONATAN DE JESUS                       Sim       PRB       Roraima                  5  
CD03O030O 005228 LUCIANO CASTRO                          Sim       PR        Roraima                  4  
CD03O030O 005228 RAUL LIMA                               Sim       PSD       Roraima                  7  
CD03O030O 005228 URZENI ROCHA                            Sim       PSDB      Roraima                  616
CD03O030O 005228 DALVA FIGUEIREDO                        Sim       PT        Amapá                    9  
CD03O030O 005228 DAVI ALCOLUMBRE                         Sim       DEM       Amapá                    10 
CD03O030O 005228 EVANDRO MILHOMEN                        Sim       PCdoB     Amapá                    11 
CD03O030O 005228 FÁTIMA PELAES                           Sim       PMDB      Amapá                    12 
CD03O030O 005228 LUIZ CARLOS                             Sim       PSDB      Amapá                    14 
CD03O030O 005228 SEBASTIÃO BALA ROCHA                    Sim       PDT       Amapá                    17 
CD03O030O 005228 VINICIUS GURGEL                         Sim       PR        Amapá                    16 
CD03O030O 005228 ASDRUBAL BENTES                         Sim       PMDB      Pará                     20 
CD03O030O 005228 BETO FARO                               Não       PT        Pará                     19 
CD03O030O 005228 DUDIMAR PAXIÚBA                         Não       PSDB      Pará                     518
CD03O030O 005228 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD03O030O 005228 JOSÉ PRIANTE                            Não       PMDB      Pará                     26 
CD03O030O 005228 JOSUÉ BENGTSON                          Não       PTB       Pará                     30 
CD03O030O 005228 LIRA MAIA                               Sim       DEM       Pará                     28 
CD03O030O 005228 LÚCIO VALE                              Não       PR        Pará                     29 
CD03O030O 005228 MIRIQUINHO BATISTA                      Abstenção PT        Pará                     35 
CD03O030O 005228 NILSON PINTO                            Sim       PSDB      Pará                     31 
CD03O030O 005228 WLADIMIR COSTA                          Sim       PMDB      Pará                     23 
CD03O030O 005228 ZÉ GERALDO                              Não       PT        Pará                     25 
CD03O030O 005228 ZEQUINHA MARINHO                        Sim       PSC       Pará                     33 
CD03O030O 005228 ÁTILA LINS                              Sim       PSD       Amazonas                 38 
CD03O030O 005228 CARLOS SOUZA                            Sim       PSD       Amazonas                 37 
CD03O030O 005228 DR. LUIZ FERNANDO                       Sim       PSD       Amazonas                 605
