CD03O038O 005235 CHICO DAS VERDURAS                      Abstenção PRP       Roraima                  3
CD03O038O 005235 EDIO LOPES                              Sim       PMDB      Roraima                  2  
CD03O038O 005235 JHONATAN DE JESUS                       Sim       PRB       Roraima                  5  
CD03O038O 005235 LUCIANO CASTRO                          Sim       PR        Roraima                  4  
CD03O038O 005235 MARCIO JUNQUEIRA                        Obstrução DEM       Roraima                  625
CD03O038O 005235 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD03O038O 005235 RAUL LIMA                               Sim       PSD       Roraima                  7  
CD03O038O 005235 DAVI ALCOLUMBRE                         Obstrução DEM       Amapá                    10 
CD03O038O 005235 EVANDRO MILHOMEN                        Sim       PCdoB     Amapá                    11 
CD03O038O 005235 FÁTIMA PELAES                           Sim       PMDB      Amapá                    12 
CD03O038O 005235 VINICIUS GURGEL                         Sim       PR        Amapá                    16 
CD03O038O 005235 ARNALDO JORDY                           Sim       PPS       Pará                     18 
CD03O038O 005235 ASDRUBAL BENTES                         Sim       PMDB      Pará                     20 
CD03O038O 005235 BETO FARO                               Sim       PT        Pará                     19 
CD03O038O 005235 CLÁUDIO PUTY                            Sim       PT        Pará                     22 
CD03O038O 005235 DUDIMAR PAXIÚBA                         Sim       PSDB      Pará                     518
CD03O038O 005235 GIOVANNI QUEIROZ                        Sim       PDT       Pará                     27 
CD03O038O 005235 JOSUÉ BENGTSON                          Sim       PTB       Pará                     30 
CD03O038O 005235 LÚCIO VALE                              Sim       PR        Pará                     29 
CD03O038O 005235 MIRIQUINHO BATISTA                      Sim       PT        Pará                     35 
CD03O038O 005235 NILSON PINTO                            Sim       PSDB      Pará                     31 
CD03O038O 005235 WLADIMIR COSTA                          Sim       PMDB      Pará                     23 
CD03O038O 005235 ZÉ GERALDO                              Sim       PT        Pará                     25 
CD03O038O 005235 ZEQUINHA MARINHO                        Sim       PSC       Pará                     33 
CD03O038O 005235 ÁTILA LINS                              Sim       PSD       Amazonas                 38 
CD03O038O 005235 CARLOS SOUZA                            Sim       PSD       Amazonas                 37 
CD03O038O 005235 DR. LUIZ FERNANDO                       Sim       PSD       Amazonas                 605
CD03O038O 005235 FRANCISCO PRACIANO                      Sim       PT        Amazonas                 41 
CD03O038O 005235 PLÍNIO VALÉRIO                          Sim       PSDB      Amazonas                 633
CD03O038O 005235 ANSELMO DE JESUS                        Sim       PT        Rondonia                 615
CD03O038O 005235 CARLOS MAGNO                            Sim       PP        Rondonia                 44 
CD03O038O 005235 MARCOS ROGÉRIO                          Sim       PDT       Rondonia                 583
CD03O038O 005235 MARINHA RAUPP                           Sim       PMDB      Rondonia                 50 
CD03O038O 005235 MOREIRA MENDES                          Sim       PSD       Rondonia                 49 
CD03O038O 005235 NILTON CAPIXABA                         Sim       PTB       Rondonia                 47 
CD03O038O 005235 PADRE TON                               Sim       PT        Rondonia                 48 
CD03O038O 005235 ANTÔNIA LÚCIA                           Sim       PSC       Acre                     53 
CD03O038O 005235 FLAVIANO MELO                           Sim       PMDB      Acre                     54 
CD03O038O 005235 GLADSON CAMELI                          Sim       PP        Acre                     55 
CD03O038O 005235 HENRIQUE AFONSO                         Sim       PV        Acre                     52 
CD03O038O 005235 PERPÉTUA ALMEIDA                        Sim       PCdoB     Acre                     56 
CD03O038O 005235 SIBÁ MACHADO                            Sim       PT        Acre                     58 
CD03O038O 005235 TAUMATURGO LIMA                         Sim       PT        Acre                     59 
CD03O038O 005235 ÂNGELO AGNOLIN                          Sim       PDT       Tocantins                61 
CD03O038O 005235 JÚNIOR COIMBRA                          Sim       PMDB      Tocantins                66 
CD03O038O 005235 LEOMAR QUINTANILHA                      Sim       PMDB      Tocantins                628
CD03O038O 005235 NILMAR RUIZ                             Sim       PEN       Tocantins                634
CD03O038O 005235 OSVALDO REIS                            Sim       PMDB      Tocantins                620
CD03O038O 005235 ALBERTO FILHO                           Sim       PMDB      Maranhão                 71 
CD03O038O 005235 CARLOS BRANDÃO                          Sim       PSDB      Maranhão                 68 
CD03O038O 005235 CLEBER VERDE                            Sim       PRB       Maranhão                 70 
CD03O038O 005235 COSTA FERREIRA                          Sim       PSC       Maranhão                 571
CD03O038O 005235 DAVI ALVES SILVA JÚNIOR                 Sim       PR        Maranhão                 528
CD03O038O 005235 DOMINGOS DUTRA                          Sim       PT        Maranhão                 72 
CD03O038O 005235 FRANCISCO ESCÓRCIO                      Sim       PMDB      Maranhão                 567
CD03O038O 005235 HÉLIO SANTOS                            Sim       PSD       Maranhão                 76 
CD03O038O 005235 NICE LOBÃO                              Sim       PSD       Maranhão                 78 
CD03O038O 005235 PEDRO NOVAIS                            Sim       PMDB      Maranhão                 82 
CD03O038O 005235 PINTO ITAMARATY                         Sim       PSDB      Maranhão                 79 
CD03O038O 005235 PROFESSOR SETIMO                        Sim       PMDB      Maranhão                 81 
CD03O038O 005235 SARNEY FILHO                            Sim       PV        Maranhão                 85 
CD03O038O 005235 SIMPLÍCIO ARAÚJO                        Não       PPS       Maranhão                 585
CD03O038O 005235 WALDIR MARANHÃO                         Sim       PP        Maranhão                 84 
CD03O038O 005235 WEVERTON ROCHA                          Sim       PDT       Maranhão                 579
CD03O038O 005235 ZÉ VIEIRA                               Sim       PR        Maranhão                 86 
CD03O038O 005235 ANDRÉ FIGUEIREDO                        Sim       PDT       Ceará                    89 
CD03O038O 005235 ANTONIO BALHMANN                        Sim       PSB       Ceará                    93 
CD03O038O 005235 ARIOSTO HOLANDA                         Sim       PSB       Ceará                    92 
CD03O038O 005235 ARNON BEZERRA                           Sim       PTB       Ceará                    90 
CD03O038O 005235 ARTUR BRUNO                             Não       PT        Ceará                    94 
CD03O038O 005235 CHICO LOPES                             Sim       PCdoB     Ceará                    88 
CD03O038O 005235 DANILO FORTE                            Sim       PMDB      Ceará                    95 
CD03O038O 005235 EDSON SILVA                             Sim       PSB       Ceará                    98 
CD03O038O 005235 EUDES XAVIER                            Sim       PT        Ceará                    91 
CD03O038O 005235 GERA ARRUDA                             Sim       PMDB      Ceará                    592
CD03O038O 005235 GORETE PEREIRA                          Sim       PR        Ceará                    100
CD03O038O 005235 JOÃO ANANIAS                            Sim       PCdoB     Ceará                    106
CD03O038O 005235 JOSÉ AIRTON                             Sim       PT        Ceará                    101
